Title,Artist,Nationality,Born Date,Death Date,Gender,Submission Date,Department,Actual Age,Submission Age
Study of a Nude,Balthus (Baltusz Klossowski de Rola),French,1908,2001,Male,1964,Drawings,93,56
Untitled from The Tower of Terror Studies,Cady Noland,American,1956,,Female,1994,Drawings,-,38
Figure 7 from Black Numeral Series,Jasper Johns,American,1930,,Male,1968,Prints & Illustrated Books,-,38
In-text plate (page 16) from PANTAGRUEL,André Derain,French,1880,1954,Male,1943,Prints & Illustrated Books,74,63
The Happy Lovers,Richard W. Ireland,American,1925,,Male,1953,Prints & Illustrated Books,-,28
"Town Center, Avesta, Sweden",Alvar Aalto,Finnish,1898,1976,Male,1944,Architecture & Design,78,46
Untitled from Gloria,Alex Katz,American,1927,,Male,2005,Prints & Illustrated Books,-,78
WINTER IN HOLLAND,Alfred Manessier,French,1911,1993,Male,1956,Prints & Illustrated Books,82,45
"Portrait of André Breton, Three-Quarters View (Portrait d'André Breton de trois quarts)",Pablo Picasso,Spanish,1881,1973,Male,1923,Prints & Illustrated Books,92,42
ŒSerie: 1 Man=1 Man (Perpetual Obsession),Thomas Hirschhorn,Swiss,1957,,Male,2001,Drawings,-,44
The Story of my Life and Friends as Told by Snapshots from Fourteen On,Unknown,,,,,1920,Photography,-,-
Untitled,Unknown,,,,,1850,Photography,-,-
Plate (page 31) from PASIPHAË,John Buckland-Wright,British,1897,1954,Male,1950,Prints & Illustrated Books,57,53
Women's Equality from Kent Bicentennial Portfolio: Spirit of Independence,Marisol (Marisol Escobar),Venezuelan,1930,2016,Female,1975,Prints & Illustrated Books,86,45
Crazy Heart,Scott Cooper,American,1970,,Male,2009,Film,-,39
"JEREMIAH'S SUFFERING, plate 103 (volume II, folio 97) from the BIBLE",Marc Chagall,French,1887,1985,Male,1944,Prints & Illustrated Books,98,57
Cubist Nude,Alexandra Exter,Russian,1882,1949,Female,1912,Painting & Sculpture,67,30
Building (Immeuble) from the portfolio Fables (Fables),Jean Dubuffet,French,1901,1985,Male,1976,Prints & Illustrated Books,84,75
56. Eidgenössisches Turnfest in Basel,Eduard Renggli,Swiss,1882,1939,Male,1912,Architecture & Design,57,30
Lounge Chair without Arms (Elevation),Ludwig Mies van der Rohe,American,1886,1969,Male,1934,Architecture & Design,83,48
The Messenger,Oren Moverman,American,1966,,Male,2009,Film,-,43
Etchings from Ecclesiastes,William Majors,American,1930,1982,Male,1965,Prints & Illustrated Books,52,35
"Kindergarten for Avery Coonley, project, Riverside, IL",Frank Lloyd Wright,American,1867,1959,Male,1911,Architecture & Design,92,44
In-text plate (page 43) from LES IDYLLES,Henri Laurens,French,1885,1954,Male,1945,Prints & Illustrated Books,69,60
"South Lake Apartments 4, Chicago",Thomas Struth,German,1954,,Male,1990,Photography,-,36
Ancien Couvent ees Religieuses de Panthémont. rue de Grenelle 104,Eugène Atget,French,1857,1927,Male,1901,Photography,70,44
Japanese Print Exhibition - details TBD,Frank Lloyd Wright,American,1867,1959,Male,1908,Architecture & Design,92,41
Shrine from the series Graphic Tectonic,Josef Albers,American,1888,1976,Male,1942,Prints & Illustrated Books,88,54
"New National Gallery, Berlin, Germany (Floor plan of exhibition hall)",Ludwig Mies van der Rohe,American,1886,1969,Male,1967,Architecture & Design,83,81
Moving to 8th Street,Peggy Bacon,American,1895,1987,Female,1920,Prints & Illustrated Books,92,25
The Paris Review,Nicholas Krushenick,American,1929,1999,Male,1958,Architecture & Design,70,29
"9 August 2001--7 June 2004 The Museum of Modern Art, New York",Michael Wesely,German,1963,,Male,2002,Photography,-,39
Time of My Life. 2,Yoshitomo Nara,Japanese,1959,,Male,1996,Drawings,-,37
Straznice,Josef Koudelka,Czech,1938,,Male,1965,Photography,-,27
Satin Operator (4) from Satin Operator,Trisha Donnelly,American,1974,,Female,2007,Prints & Illustrated Books,-,33
Other Christs,Raymond Pettibon,American,1957,,Male,1982,Prints & Illustrated Books,-,25
Minox VEF Riga Camera,Walter Zapp,Latvian,1905,2003,Male,1936,Architecture & Design,98,31
"Vanves, rue du Chariot",Eugène Atget,French,1857,1927,Male,1926,Photography,70,69
"Album cover for the Grateful Dead, Aoxomoxoa",Rick Griffin,American,1944,1991,Male,1969,Architecture & Design,47,25
Silver Loop-Handled Dish,Charles Robert Ashbee,British,1863,1942,Male,1901,Architecture & Design,79,38
Socrates and His Disciples Mocked by Courtesans,Jules Pascin,American,1885,1930,Male,1921,Drawings,45,36
Plate VIII (folio 18) from LICHTANMERKUNGEN IN ACHT AUGENBLICKEN/ANNOTAZIONI DI LUCE IN OTTO MOMENTI/ANNOTATIONS OF LIGHT IN EIGHT MOMENTS,Roberto Ciaccio,Italian,1951,,Male,1991,Prints & Illustrated Books,-,40
Untitled (Pearls),Sergej Jensen,Danish,1973,,Male,2008,Painting & Sculpture,-,35
Martin Flatow stationery calling card,Erich Comeriner,German,1907,1978,Male,1920,Architecture & Design,71,13
Leaf Children (Study for Hide-and-Seek),Pavel Tchelitchew,American,1898,1957,Male,1939,Drawings,59,41
Jewelry Fluxkit,Alice Hutchins,American,1916,2009,Female,1980,Prints & Illustrated Books,93,64
"FIGURE ON FOOT (plate, folio 21 verso) from CERCEAUX 'SORCELLENT",Jean Dubuffet,French,1901,1985,Male,1967,Prints & Illustrated Books,84,66
2nd Element Black for VENTRILOQUIST,Jasper Johns,American,1930,,Male,1986,Prints & Illustrated Books,-,56
Untitled,Gego (Gertrud Goldschmidt),Venezuelan,1912,1994,Female,1966,Prints & Illustrated Books,82,54
Chatsworth,Francis Frith,British,1822,1898,Male,1860,Photography,76,38
Double page plate (folios 8 verso and 9) from DREAM WORK,Bruce McLean,British,1944,,Male,1984,Prints & Illustrated Books,-,40
"Sketchbook: El Golea, II",Jean Dubuffet,French,1901,1985,Male,1948,Drawings,84,47
Randomness is Perhaps Indefinable,William Leavitt,American,1941,,Male,1985,Prints & Illustrated Books,-,44
A Promising Tomorrow,Nicola López,American,1975,,Female,2004,Prints & Illustrated Books,-,29
"POMOGRANATES OF POROS, plate 5 (folio 16) from AN AEGEAN NOTE-BOOK",Roloff Beny,Canadian,1924,1984,Male,1949,Prints & Illustrated Books,60,25
Two Figures,Max Weber,American,1881,1961,Male,1917,Prints & Illustrated Books,80,36
German Airship Batallion,Underwood and Underwood,American,1880,1934,,1916,Photography,54,36
Crouching Nude,Max Weber,American,1881,1961,Male,1920,Prints & Illustrated Books,80,39
Independence/Nakba,Fazal Sheikh,American,1965,,Male,2013,Photography,-,48
Untitled from Marilyn Monroe,Andy Warhol,American,1928,1987,Male,1967,Prints & Illustrated Books,59,39
Agnes Hambrick,Unknown,,,,,1950,Photography,-,-
Mutations,Lillian Schwartz,American,1927,,Female,1972,Film,-,45
The Future of Ecstasy,Carol Bove,American,1971,,Female,2004,Prints & Illustrated Books,-,33
A. T. S.,Abram Games,British,1914,1996,Male,1922,Architecture & Design,82,8
"Court House Project, Plan",Ludwig Mies van der Rohe,American,1886,1969,Male,1935,Architecture & Design,83,49
"Tribune Review Publishing Company Building, Greensburg, Pennsylvania, Plan sketch",Louis I. Kahn,American,1901,1974,Male,1958,Architecture & Design,73,57
Chair with Arms (Perspective sketch),Ludwig Mies van der Rohe,American,1886,1969,Male,1934,Architecture & Design,83,48
"Mitteldeutsche Badeofenfabrik, Adolf Hanf",Franz Wilhelm Seiwert,German,1894,1933,Male,1926,Architecture & Design,39,32
Untitled,Unknown,,,,,1949,Photography,-,-
Plate (page 79) from CONSTELAÇÃO,Adão Pinheiro,Brazilian,1938,,Male,1972,Prints & Illustrated Books,-,34
Pocketbook Man,William Wegman,American,1943,,Male,1970,Media and Performance Art,-,27
Child Art Piece,Arthur Köpcke,German,1928,1977,Male,1964,Fluxus Collection,49,36
Edge of August,Mark Tobey,American,1890,1976,Male,1953,Painting & Sculpture,86,63
"Duplicate of plate from folio 8 verso (supplementary suite, plate 4) from LOS RENEGADOS",Lorenzo Homar,American,1913,2004,Male,1962,Prints & Illustrated Books,91,49
The Body is the Border,Franz Erhard Walther,German,1939,,Male,1970,Drawings,-,31
We Demand The National Textile Act,Ben Shahn,American,1898,1969,Male,1935,Architecture & Design,71,37
Negative Sculpture - Quebec,Michael Heizer,American,1944,,Male,1980,Painting & Sculpture,-,36
Front cover from MOUCHOIR DE NUAGES,Juan Gris,Spanish,1887,1927,Male,1925,Prints & Illustrated Books,40,38
Water,Roman Signer,Swiss,1938,,Male,1982,Media and Performance Art,-,44
HOUDAN. ÉGLISE,Eugène Atget,French,1857,1927,Male,1907,Photography,70,50
Headpiece (page 243) from FABLES,Thomas Bewick,British,1753,1828,Male,1818,Prints & Illustrated Books,75,65
Icon II from 6 Icons,Sonia Gechtoff,American,1926,2018,Female,1963,Prints & Illustrated Books,92,37
Food for the Spirit #6,Adrian Piper,American,1948,,Female,1971,Photography,-,23
Winter,Emil Ganso,American,1895,1941,Male,1933,Prints & Illustrated Books,46,38
"Plate (volume I, folio 66 verso) from FORMULATION: ARTICULATION",Josef Albers,American,1888,1976,Male,1971,Prints & Illustrated Books,88,83
Brushstrokes,Roy Lichtenstein,American,1923,1997,Male,1967,Drawings,74,44
Starglow Wigs from DeLuxe,Ellen Gallagher,American,1965,,Female,2004,Prints & Illustrated Books,-,39
"PARKER COUNTY, WEATHERFORD, TEXAS",Frank Gohlke,American,1942,,Male,1976,Photography,-,34
"Nosotros (Poster for a documentary film about the poet Regino Pedroso, directed by Luis Felipe Bernaza)",Antonio Fernandez Reboiro,Cuban,1935,,Male,1977,Architecture & Design,-,42
Crete,Helen Frankenthaler,American,1928,2011,Female,1970,Prints & Illustrated Books,83,42
"Straight, Not-Straight and Broken Lines in All Horizontal Combinations (Three Kinds of Lines & All Their Combinations),",Sol LeWitt,American,1928,2007,Male,1973,Prints & Illustrated Books,79,45
Saint-Cloud,Eugène Atget,French,1857,1927,Male,1922,Photography,70,65
Untitled,Unknown,,,,,1949,Photography,-,-
"Baranca of Ynsiensi, Guatemala",Eadweard J. Muybridge,American,1830,1904,Male,1875,Photography,74,45
Dr. Barnard,Bernard Rancillac,French,1931,,Male,1969,Prints & Illustrated Books,-,38
Measure Taken,Harald V. Uccello,Austrian,1953,,Male,1984,Film,-,31
In-text plate (page 17) from L'ÉVANGILE,Léo Marchutz,French,1903,1976,Male,1948,Prints & Illustrated Books,73,45
Untitled from Cuban Sketch Book,Jules Pascin,American,1885,1930,Male,1917,Drawings,45,32
Crystal Louisiana Hot Sauce,Akira Inada,Japanese,1949,,Male,1982,Architecture & Design,-,33
The Day Before,Zwelethu Mthethwa,South African,1960,,Male,2000,Prints & Illustrated Books,-,40
Nile Valley,Dorothea Lange,American,1895,1965,Female,1963,Photography,70,68
Desert,Richard Pousette-Dart,American,1916,1992,Male,1940,Painting & Sculpture,76,24
Dryburgh Abbey,Francis Frith,British,1822,1898,Male,1860,Photography,76,38
Manifestos 2,Charles Gaines,American,1944,,Male,2013,Media and Performance Art,-,69
In-text plate (page 16) from LA 628-E8,Pierre Bonnard,French,1867,1947,Male,1908,Prints & Illustrated Books,80,41
Jean Dubuffet's Right Eye,Bill Brandt,British,1904,1983,Male,1960,Photography,79,56
Tornado,Louise Bourgeois,American,1911,2010,Female,1992,Prints & Illustrated Books,99,81
Identity Transfer 1,VALIE EXPORT,Austrian,1940,,Female,1968,Photography,-,28
Family Circle,Ronald Markman,American,1931,,Male,1965,Painting & Sculpture,-,34
Untitled from Kartinki-Voina russkikh s nemtsami (Russia's War with the Germans in Pictures),Unknown,,,,,1914,Prints & Illustrated Books,-,-
PORTE D'IVRY (EXTRA MUROS),Eugène Atget,French,1857,1927,Male,1910,Photography,70,53
Untitled fromStanzas for Kenji Kobayashi,Toshi Ichiyanagi,Japanese,1933,,Male,1961,Fluxus Collection,-,28
Untitled (for Parkett no. 95),Wael Shawky,Egyptian,1971,,Male,2014,Prints & Illustrated Books,-,43
Woman (La Femme),Kumi Sugaï,Japanese,1919,1996,Male,1957,Prints & Illustrated Books,77,38
Untitled from Eight Variations for Heiner Friedrich Gallery (Acht Variationen für die Galerie Heiner Friedrich),Fred Sandback,American,1943,2003,Male,1972,Prints & Illustrated Books,60,29
"Lange Radio Sein Konstrukteur Heisst Grundlichkeit (Lange Radio - its manufacturer is called thoroughness) (Poster for Johannes Lange GmbH, radio manufacturers 1927-1933)",Herbert Bayer,American,1900,1985,Male,1931,Architecture & Design,85,31
The Visitor,Gertrude Käsebier,American,1852,1934,Female,1910,Photography,82,58
"Costume design, for ballet Billy the Kid",Jared French,American,1905,1988,Male,1938,Drawings,83,33
Untitled (Quantum IX),Garo Antreasian,American,1922,,Male,1966,Prints & Illustrated Books,-,44
Untitled from Gloria,Alex Katz,American,1927,,Male,2005,Prints & Illustrated Books,-,78
Fragments,Robert Frank,American,1924,,Male,2000,Film,-,76
Tableaux et Architecture - Exhibition at Kunsthaus Zürich,Le Corbusier (Charles-Édouard Jeanneret),French,1887,1965,Male,1938,Architecture & Design,78,51
Untitled,Pierre Soulages,French,1919,,Male,1957,Prints & Illustrated Books,-,38
Analogue,Zoe Leonard,American,1961,,Female,2004,Photography,-,43
Baumann,Otto Baumberger,Swiss,1889,1961,Male,1922,Architecture & Design,72,33
"Protestant Women from Springmartin Estates, Belfast, ""We are the Ones Who Should Get the Sympathy"" from the series The Troubles",Les Levine,American,1935,,Male,1977,Prints & Illustrated Books,-,42
Trotzky,Fernando Bryce,Peruvian,1965,,Male,2003,Drawings,-,38
Morisawa 10 Poster,John Maeda,American,1966,,Male,1996,Architecture & Design,-,30
Birds of America,Anna Halprin,American,1920,,Female,1960,Media and Performance Art,-,40
Untitled (Les Halles),Eugène Atget,French,1857,1927,Male,1900,Photography,70,43
Mink,Philip-Lorca diCorcia,American,1951,,Male,1990,Photography,-,39
Untitled from Favorite Objects,Christian Boltanski,French,1944,,Male,1998,Prints & Illustrated Books,-,54
"Untitled, plate 14 of 14, from the portfolio, Autobiographical Series",Louise Bourgeois,American,1911,2010,Female,1993,Prints & Illustrated Books,99,82
Gothic,Jackson Pollock,American,1912,1956,Male,1944,Painting & Sculpture,44,32
"Plate (volume I, folio 59) from FORMULATION: ARTICULATION",Josef Albers,American,1888,1976,Male,1971,Prints & Illustrated Books,88,83
Untitled,Manuel Angeles Ortiz,Spanish,1895,1984,Male,1942,Prints & Illustrated Books,89,47
Plate (facing page 10) from THE POET'S EYE,John Craxton,British,1922,2009,Male,1944,Prints & Illustrated Books,87,22
London 3 (Mayfair),Katsuro Yoshida,Japanese,,,Male,1973,Prints & Illustrated Books,-,-
Lift Off,Bryan Hunt,American,1947,,Male,1984,Drawings,-,37
"Pittsburgh, Pennsylvania",Lee Friedlander,American,1934,,Male,1980,Photography,-,46
Tête à l'envers,Louise Bourgeois,American,1911,2010,Female,2001,Prints & Illustrated Books,99,90
Vegetable Memory,Bill Viola,American,1951,,Male,1979,Media and Performance Art,-,28
Girl with a Blue Scarf,Gwen John,British,1876,1939,Female,1918,Painting & Sculpture,63,42
"Variant of Three Bathers (2nd supplementary suite, plate 4) from the illustrated book La Chèvre-Feuille",Pablo Picasso,Spanish,1881,1973,Male,1943,Prints & Illustrated Books,92,62
Prisma Tumblers,Kaj Franck,Finnish,1911,1989,Male,1967,Architecture & Design,78,56
Auden,Philip-Lorca diCorcia,American,1951,,Male,1988,Photography,-,37
Untitled,Reinhoud (Reinhoud D'haese),Belgian,1928,2007,Male,1971,Drawings,79,43
Untitled,Paul Feeley,American,1910,1966,Male,1965,Drawings,56,55
12th Action,Hermann Nitsch,Austrian,1938,,Male,1965,Photography,-,27
"Tajikistan, Steam Shovel in Desert",Louis Lozowick,American,1892,1973,Male,1932,Prints & Illustrated Books,81,40
Screen Test: Rufus Collins,Andy Warhol,American,1928,1987,Male,1964,Film,59,36
Les Trois Fées,Louise Bourgeois,American,1911,2010,Female,1948,Prints & Illustrated Books,99,37
In-text plate (folio 10) from TETRASCROLL,R. Buckminster Fuller,American,1895,1983,Male,1976,Prints & Illustrated Books,88,81
Untitled from Favorite Objects,Christian Boltanski,French,1944,,Male,1998,Prints & Illustrated Books,-,54
Untitled,Wayne Miller,American,1918,2013,Male,1947,Photography,95,29
"A VALEDICTION: FORBIDDING MOURNING (plate, page 81) from SONGS AND SONETS",June Wayne,American,1918,2011,Female,1959,Prints & Illustrated Books,93,41
Plate (page 137) from HISTOIRES NATURELLES,Hans Erni,Swiss,1909,2015,Male,1954,Prints & Illustrated Books,106,45
Untitled,Jake Berthot,American,1939,2014,Male,1984,Drawings,75,45
Untitled,Cheyney Thompson,American,1975,,Male,2003,Drawings,-,28
Untitled,Unknown,,,,,1949,Photography,-,-
Plate (folio 9) from SELF PORTRAITS,James Brown,American,1951,,Male,1983,Prints & Illustrated Books,-,32
Versailles,Eugène Atget,French,1857,1927,Male,1906,Photography,70,49
Eleanor,Harry Callahan,American,1912,1999,Male,1948,Photography,87,36
Send Our Boys Home,Cristos Gianakos,American,1934,,Male,1966,Architecture & Design,-,32
Festons und Dekorative Gruppen,Unknown,,,,,1893,Photography,-,-
Project for a Mural,Lennart Olson,Swedish,1925,2010,Male,1960,Photography,85,35
"2nd variant of ...ALONE, AT THE FOOT OF THE GREAT LOCUST TREE... (volume II, folio 14) from PASIPHAÉ",Henri Matisse,French,1869,1954,Male,1962,Prints & Illustrated Books,85,93
Staatliches Bauhaus Weimar,László Moholy-Nagy,American,1895,1946,Male,1922,Architecture & Design,51,27
"Landscape with Figures and Crucifix (Landschaft mit Figuren und Kruzifix) (plate, folio 49) from Klänge (Sounds)",Vasily Kandinsky,French,1866,1944,Male,1913,Prints & Illustrated Books,78,47
Venetian Blinds,Mathias Schmied,Swiss,1976,,Male,2004,Drawings,-,28
Shadow Picture II,Gerhard Richter,German,1932,,Male,1968,Prints & Illustrated Books,-,36
Untitled,Unknown,,,,,1949,Photography,-,-
Untitled from Work from Instructions,Sol LeWitt,American,1928,2007,Male,1971,Prints & Illustrated Books,79,43
Untitled from Seven Houses & Six Flats,Julião Sarmento,Portuguese,1948,,Male,2006,Prints & Illustrated Books,-,58
Endocrinology,Kiki Smith,American,1954,,Female,1997,Prints & Illustrated Books,-,43
Baj at Marconi's,Enrico Baj,Italian,1924,2003,Male,1969,Prints & Illustrated Books,79,45
Encampment,Mathew B. Brady (studio of),American,1823,1896,Male,1863,Photography,73,40
Headpiece (page 149) from LE MONDE MERVEILLEUX DES INSECTES,Jean Lurçat,French,1892,1966,Male,1950,Prints & Illustrated Books,74,58
"Fuchsia Stream, Blackberries and Tilted Vase (Breakfast Nook Series)",Christian Holstad,American,1972,,Male,2003,Drawings,-,31
Brave and Noble,Ohmae Hiroshi,Japanese,,,Female,1957,Prints & Illustrated Books,-,-
Wohnung und Werkraum,Johannes Molzahn,German,1892,1965,Male,1929,Architecture & Design,73,37
Monroe Wheeler,Pavel Tchelitchew,American,1898,1957,Male,1945,Drawings,59,47
Untitled from The Test of the Title (Le Test du titre),Pierre Alechinsky,Belgian,1927,,Male,1966,Prints & Illustrated Books,-,39
"Structure Change II, III. IV",Edda Renouf,American,1943,,Female,1973,Drawings,-,30
The Barbie Doll Drawings #8,Adrian Piper,American,1948,,Female,1967,Drawings,-,19
"Source: Music of the Avant Garde, no. 9",Various Artists,Various,,,,1971,Prints & Illustrated Books,-,-
Bubu 1er,Philippe Starck,French,1949,,Male,1991,Architecture & Design,-,42
Potentially Dangerous Electrical Household Appliance,Jock Reynolds,American,1947,,Male,1970,Prints & Illustrated Books,-,23
Plowing after the old method,Frances Benjamin Johnston,American,1864,1952,Female,1900,Photography,88,36
Headpiece (page 96) from AU PAYS DU MUFLE,Albert Gleizes,French,1881,1953,Male,1920,Prints & Illustrated Books,72,39
"The Happy House, plate 7 of 7, from the portfolio, La Réparation",Louise Bourgeois,American,1911,2010,Female,2001,Prints & Illustrated Books,99,90
"Plate 2 of 9, from the illustrated book, He Disappeared into Complete Silence",Louise Bourgeois,American,1911,2010,Female,1946,Prints & Illustrated Books,99,35
"EASTERN PORTICO OF THE PARTHENON, VIEW LOOKING NORTHWARD, AND SHOWING MOUNT PARNES IN THE EXTREME DISTANCE",William James Stillman,American,1828,1901,Male,1869,Photography,73,41
(Untitled),Antoni Tàpies,Spanish,1923,2012,Male,1965,Prints & Illustrated Books,89,42
Martha's Vineyard 124,Aaron Siskind,American,1903,1991,Male,1954,Photography,88,51
In-text plate (page 49) from LE CRÉPUSCULE DES NYMPHES,Pierre Bonnard,French,1867,1947,Male,1946,Prints & Illustrated Books,80,79
Cold Observatorium from Book Drafts,Rosemarie Trockel,German,1952,,Female,1986,Drawings,-,34
La Profesora,German Bobe,Chilean,1963,,Male,1993,Media and Performance Art,-,30
Postal Dossier (Dossier postale),Alighiero Boetti,Italian,1940,1994,Male,1970,Prints & Illustrated Books,54,30
Matchbox,Luigi Caccia Dominioni,Italian,1913,,Male,1954,Architecture & Design,-,41
Starry Night Variation Number Two,Betty Hahn,American,1940,,Female,1977,Photography,-,37
Figure 8 from Color Numeral Series,Jasper Johns,American,1930,,Male,1969,Prints & Illustrated Books,-,39
Wrapper front from ...LE FLUX MÊME,Jean Dubuffet,French,1901,1985,Male,1976,Prints & Illustrated Books,84,75
Cover for Fluxus 1,George Maciunas,American,1931,1978,Male,1964,Prints & Illustrated Books,47,33
"Untitled, no. 9 of 12, from the portfolio, Anatomy",Louise Bourgeois,American,1911,2010,Female,1990,Prints & Illustrated Books,99,79
Zen for Film,Nam June Paik,American,1932,2006,Male,1965,Prints & Illustrated Books,74,33
1935 Peugeot,Paul Colin,French,1892,1985,Male,1935,Architecture & Design,93,43
MEUDON. TERRASSE DU CHÂTEAU,Eugène Atget,French,1857,1927,Male,1902,Photography,70,45
Untitled,Jaap Berghuis,Dutch,1945,,Male,1975,Prints & Illustrated Books,-,30
Composition,Nicolas de Staël,French,1914,1955,Male,1948,Prints & Illustrated Books,41,34
Park Bench,Harold Altman,American,1924,2003,Male,1958,Prints & Illustrated Books,79,34
Claudication,Michael Landy,British,1963,,Male,2004,Drawings,-,41
Untitled (Majestic),Martin Kippenberger,German,1953,1997,Male,1996,Drawings,44,43
"Holy Redeemer Church, San Cristóbal de la Laguna, Tenerife, Spain",Fernando Martín Menis,Spanish,1951,,Male,2005,Architecture & Design,-,54
Discovery of Acid (Act I) [Découverte de l'acide (acte I)],Pierre Alechinsky,Belgian,1927,,Male,1968,Prints & Illustrated Books,-,41
"Earth Map (White Limestone) of the Hypothetical Ice Cap of Gondwanaland Made Near Uxmal Yucatan, April 1969, Hypothetical Continent (Icecap of Gondwanaland), Yucatan, Mexico",Robert Smithson,American,1938,1973,Male,1969,Drawings,35,31
Untitled (page from Sump),Jerome Neuner,American,1945,,Male,1994,Photography,-,49
"(Two Women, Both With Hands to Their Heads)",Wayne Miller,American,1918,2013,Male,1945,Photography,95,27
Dépêche-toi!,Seb Patane,Italian,1970,,Male,2004,Drawings,-,34
HURRICANE SERIES,Joan Jonas,American,1936,,Female,1979,Prints & Illustrated Books,-,43
Multi-set Serving Dish and Carving Board,Arne Jacobsen,Danish,1902,1971,Male,1970,Architecture & Design,69,68
Self-Portrait as Robinson & Rejlander,Jerry Uelsmann,American,1934,,Male,1964,Photography,-,30
Untitled,John McLaughlin,American,1898,1976,Male,1963,Prints & Illustrated Books,78,65
"Exhibition House, German Building Exhibition, Berlin, Germany, Plan",Ludwig Mies van der Rohe,American,1886,1969,Male,1930,Architecture & Design,83,44
Brush Eko Bridge,J.D. 'Okhai Ojeikere,Nigerian,1930,2014,Male,1973,Photography,84,43
"Neizdannyi Khlebnikov, no. 13",Kirill Zdanevich,Russian,1892,1969,Male,1929,Prints & Illustrated Books,77,37
Caracas,Alfredo Cortina,Venezuelan,1903,1988,Male,1965,Photography,85,62
Plate (folio 13) from AUTOBIO,Jean Lurçat,French,1892,1966,Male,1949,Prints & Illustrated Books,74,57
Untitled,Yves Tanguy,American,1900,1955,Male,1926,Drawings,55,26
"Terrain, project",Lebbeus Woods,American,1940,2012,Male,1999,Architecture & Design,72,59
Mint,Robert Rauschenberg,American,1925,2008,Male,1974,Painting & Sculpture,83,49
Untitled #213,José Antonio Suárez Londoño,Colombian,1955,,Male,2004,Prints & Illustrated Books,-,49
"Aftermath of Bomb in Hope Court, Belfast from the series The Troubles",Les Levine,American,1935,,Male,1977,Prints & Illustrated Books,-,42
Hustler White,Bruce La Bruce,Canadian,1964,,Male,1996,Film,-,32
"Vignette next to ""Hills"" (Vignette bei ""Hügel"") (headpiece, folio 5) from Klänge (Sounds)",Vasily Kandinsky,French,1866,1944,Male,1913,Prints & Illustrated Books,78,47
Tailpiece (page 72) from LE VOYAGE D'URIEN,Maurice Denis,French,1870,1943,Male,1893,Prints & Illustrated Books,73,23
FONTAINEBLEAU. COUR OVALE,Eugène Atget,French,1857,1927,Male,1903,Photography,70,46
"Frank Stella, ""Sabra III,"" 1967",Richard Pettibone,American,1938,,Male,1968,Painting & Sculpture,-,30
Ale Cans,Jasper Johns,American,1930,,Male,1975,Prints & Illustrated Books,-,45
"Aline Barnsdall Kindergarten, Los Angeles, CA",Frank Lloyd Wright,American,1867,1959,Male,1921,Architecture & Design,92,54
"Sparky and Cowboy, Schererville, Indiana",Danny Lyon,American,1942,,Male,1966,Photography,-,24
FONTAINE LAUSANNE. (SUISSE),Eugène Atget,French,1857,1927,Male,1900,Photography,70,43
Mat' (Mother),Vsevolod Pudovkin,Russian,1893,1953,Male,1926,Film,60,33
"Untitled, plate 2 of 15, from the series, Nature Study",Louise Bourgeois,American,1911,2010,Female,2009,Prints & Illustrated Books,99,98
Maquette for Rām gangra,Frank Stella,American,1936,,Male,1977,Painting & Sculpture,-,41
TB,Greg Goldberg,American,1973,,Male,2001,Drawings,-,28
Costume design for the opera Satyagraha: Policeman,Robert Israel,American,1939,,Male,1982,Drawings,-,43
Untitled from Black Dahlias,Paul Morrison,British,1966,,Male,2002,Prints & Illustrated Books,-,36
Untitled (Tecopa G),Noriko Furunishi,Japanese,1966,,Female,2005,Photography,-,39
Psychoanalysed,Norman Catherine,South African,1949,,Male,1988,Prints & Illustrated Books,-,39
Plate (page 26) from PARALLÈLEMENT,Pierre Bonnard,French,1867,1947,Male,1900,Prints & Illustrated Books,80,33
La América del Che,Alberto Carol,Cuban,,,Male,1972,Architecture & Design,-,-
"Sign in Wholesale Grocery Store, San Angelo, Texas",Russell Lee,American,1903,1986,Male,1939,Photography,83,36
I Got Up...,On Kawara,Japanese,1933,,Male,1977,Painting & Sculpture,-,44
Stream through the Meadow,Orrin Wightman,American,1873,1965,Male,1935,Photography,92,62
"Untitled, from Easton Portraits",Judith Joy Ross,American,1946,,Female,1988,Photography,-,42
William Eggleston in the Real World,Michael Almereyda,American,1959,,Male,2005,Film,-,46
Mirror #1,Max Weber,American,1881,1961,Male,1928,Prints & Illustrated Books,80,47
"Imperial Hotel, Tokyo, Japan",Frank Lloyd Wright,American,1867,1959,Male,1918,Architecture & Design,92,51
Headpiece (page 41) from PARLER SEUL,Joan Miró,Spanish,1893,1983,Male,1949,Prints & Illustrated Books,90,56
Girls in the Naked Girl Business: Charlie,Zak Smith,American,1976,,Male,2004,Drawings,-,28
"""Heavyweight of the Universe""",Times Wide World Photos,American,1919,1941,,1923,Photography,22,4
"Location unknown, (woman waiting at curb, man walking behind)",Lee Friedlander,American,1934,,Male,1969,Photography,-,35
Untitled,Kara Walker,American,1969,,Female,1996,Drawings,-,27
Detroit,Harry Callahan,American,1912,1999,Male,1945,Photography,87,33
Plate (page 31) from CIRQUE,Fernand Léger,French,1881,1955,Male,1950,Prints & Illustrated Books,74,69
Relief,Piero Dorazio,Italian,1927,2005,Male,1953,Painting & Sculpture,78,26
Canto X from 18 Cantos,Barnett Newman,American,1905,1970,Male,1964,Prints & Illustrated Books,65,59
