Title,Artist,Nationality,Born Date,Death Date,Gender,Submission Date,Department,Actual Age,Submission Age
"Gericke House, project, Berlin-Wannsee, Germany, Landscape model",Ludwig Mies van der Rohe,American,1886,1969,Male,1932,Architecture & Design,83,46
Plate (page 209) from LES PETITES FLEURS,Émile Bernard,French,1868,1941,Male,1928,Prints & Illustrated Books,73,60
"Mechanical for Ticket for Fluxorchestra at Carnegie Hall, Carnegie Recital Hall, New York, September 25, 1965",George Maciunas,American,1931,1978,Male,1965,Prints & Illustrated Books,47,34
Untitled,Louise Bourgeois,American,1911,2010,Female,2003,Prints & Illustrated Books,99,92
"Banco Pinto & Sotto Mayor, Oliveira de Azeméis, Portugal, Plan sketch",Álvaro Siza,Portuguese,1933,,Male,1972,Architecture & Design,-,39
Overcast Dusk-Glassy Lake from Loon Lake: Eleven Drawings,Ellen Phelan,American,1943,,Female,1983,Drawings,-,40
"Golf Club Project, Krefeld, Germany",Ludwig Mies van der Rohe,American,1886,1969,Male,1930,Architecture & Design,83,44
Stamp Box,Josef Hoffmann,Austrian,1870,1956,Male,1946,Architecture & Design,86,76
"Library, Villeurbanne, France, Interior rear elevation",Mario Botta,Swiss,1943,,Male,1984,Architecture & Design,-,41
Studio II 1982 from Architecture Models 1980-2006 (Architektur Modelle 1980-2006),Thomas Schütte,German,1954,,Male,2006,Prints & Illustrated Books,-,52
"Looking out from Black Hawks Cave, Wisconsin Dells",Henry Hamilton Bennett,American,1843,1908,Male,1885,Photography,65,42
"Apollon Musagete, design for Scenery",Pavel Tchelitchew,American,1898,1957,Male,1942,Drawings,59,44
LA RUE DE LA PARCHEMINERIE APRÈS DÉMOLITION,Eugène Atget,French,1857,1927,Male,1913,Photography,70,56
Scroll Down and Keep Scrolling,Fiona Banner,British,1966,,Female,2015,Prints & Illustrated Books,-,49
"""Untitled""",Felix Gonzalez-Torres,American,1957,1996,Male,1987,Painting & Sculpture,39,30
Plate (page 89) from L'ÉVANGILE,Léo Marchutz,French,1903,1976,Male,1948,Prints & Illustrated Books,73,45
Pleasures and Terrors of Levitation 50,Aaron Siskind,American,1903,1991,Male,1965,Photography,88,62
Tailpiece (page 44) from FABLES,Thomas Bewick,British,1753,1828,Male,1818,Prints & Illustrated Books,75,65
"KOTSCHEI (plate, folio 7) from DEM FEUERVOGEL",Helmut A. P. Grieshaber,German,1909,1981,Male,1961,Prints & Illustrated Books,72,52
RUES LANNEAU ET DES CARMES,Eugène Atget,French,1857,1927,Male,1925,Photography,70,68
Plate (page 160) from RÉINCARNATIONS DU PÈRE UBU,Georges Rouault,French,1871,1958,Male,1924,Prints & Illustrated Books,87,53
"Landscape Triptych No. 1, State IV/IV",Fred Williams,Australian,1927,1982,Male,1962,Prints & Illustrated Books,55,35
"Mr. Bennett, Vermont",Paul Strand,American,1890,1976,Male,1944,Photography,86,54
Portrait of Alice (frontispiece) from Alice in Wonderland,Marie Laurencin,French,1883,1956,Female,1930,Prints & Illustrated Books,73,47
C.N.T. from the portfolio Color Guard Etcetera,Juan Hidalgo,Spanish,1927,,Male,1991,Prints & Illustrated Books,-,64
"Untitled. (portrait of man with dark glasses, Heino?)",Michael Schmidt,German,1945,2014,Male,1992,Photography,69,47
