Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Season
E0,09-05-2018,Man City,Brighton,3,1,H,2,1,H,2017-18
E0,09-05-2018,Tottenham,Newcastle,1,0,H,0,0,D,2017-18
E0,10-05-2018,West Ham,Man United,0,0,D,0,0,D,2017-18
E0,13-05-2018,Burnley,Bournemouth,1,2,A,1,0,H,2017-18
E0,13-05-2018,Crystal Palace,West Brom,2,0,H,0,0,D,2017-18
E0,13-05-2018,Huddersfield,Arsenal,0,1,A,0,1,A,2017-18
E0,13-05-2018,Liverpool,Brighton,4,0,H,2,0,H,2017-18
E0,13-05-2018,Man United,Watford,1,0,H,1,0,H,2017-18
E0,13-05-2018,Newcastle,Chelsea,3,0,H,1,0,H,2017-18
E0,13-05-2018,Southampton,Man City,0,1,A,0,0,D,2017-18
E0,13-05-2018,Swansea,Stoke,1,2,A,1,2,A,2017-18
E0,13-05-2018,Tottenham,Leicester,5,4,H,1,2,A,2017-18
E0,13-05-2018,West Ham,Everton,3,1,H,1,0,H,2017-18
